shot,signal_ok,primary_p95,n_elms,n_elms_lower,n_elms_upper,both_live,coincidence_frac,elm_freq_hz,median_dt,mean_dt,cv_dt,min_dt,max_dt,weibull_k,t_first,t_last,window_s,t_lo,t_hi,dt_s
139914,True,2.119999885559082,10,10,0,False,,31.545742641705232,0.01660001277923584,0.018977777825461492,0.7309401122546777,0.004399985074996948,0.043599992990493774,1.3892554457257553,0.24700000882148743,0.41780000925064087,0.31699998676776886,0.12620000541210175,0.4431999921798706,0.00020003318786621094
139950,True,0.23999999463558197,150,150,0,False,,178.78427538640153,0.0031999945640563965,0.005444295204325811,1.0647256483554413,-0.0010000169277191162,0.02959999442100525,1.1266957613899795,0.04940000921487808,0.8605999946594238,0.8389999605715275,0.02900001034140587,0.8679999709129333,0.00020003318786621094
139953,False,0.1397500000894015,0,0,0,False,,,,,,,,,,,3.2667999174445868,9.313225746154785e-09,3.2667999267578125,0.00020003318786621094
139954,True,0.23974999487399964,16,16,0,False,,30.522700507500435,0.006599992513656616,0.020839999119440716,1.211588130497415,-0.0004000067710876465,0.07940000295639038,0.7633230440740997,0.20100000500679016,0.5135999917984009,0.5242000129073858,9.313225746154785e-09,0.5242000222206116,0.00020003318786621094
139956,True,0.762499988079071,25,25,0,False,,24.08477879414282,0.005100026726722717,0.02944166709979375,2.358752670494459,-0.00020003318786621094,0.3349999785423279,0.02102790062502636,0.35740000009536743,1.0640000104904175,1.0379999838769436,0.03380000963807106,1.0717999935150146,0.00020003318786621094
139957,True,0.3400000035762787,13,13,0,False,,10.759808739845543,0.003600001335144043,0.07521666338046391,2.8625827464069964,-0.00020003318786621094,0.7878000140190125,0.051525884128937285,0.3328000009059906,1.2353999614715576,1.2081999145448208,0.03200000897049904,1.2401999235153198,0.00020003318786621094
139958,True,2.725000023841858,31,31,0,False,,44.6685894461556,0.004100024700164795,0.018859999378522237,1.4994690393199765,0.0,0.11399996280670166,0.637279382635269,0.27459999918937683,0.840399980545044,0.6939999759197235,0.15320000052452087,0.8471999764442444,0.00020003318786621094
139962,True,2.5999999046325684,20,20,0,False,,43.994722903944734,0.009200036525726318,0.014094735446729158,1.1405625938507613,0.0,0.06280001997947693,0.8155511722750408,0.3330000042915344,0.6007999777793884,0.4545999765396118,0.14840000867843628,0.6029999852180481,0.00020003318786621094
139965,True,3.3899998664855957,7,7,0,False,,16.218720871354712,0.025199994444847107,0.026633332173029583,0.7950193301243799,0.0,0.06640002131462097,1.708848795648084,0.39160001277923584,0.5514000058174133,0.43160000443458557,0.1274000108242035,0.5590000152587891,0.00020003318786621094
139969,True,2.138499903678893,17,17,0,False,,37.18285350174775,0.007700011134147644,0.021562499925494194,1.3473649691587384,-0.0006000101566314697,0.09160000085830688,0.6979690995557761,0.13740000128746033,0.48240000009536743,0.45719998329877853,0.030000008642673492,0.487199991941452,0.00020003318786621094
139971,True,3.6959998130798333,8,8,0,False,,20.470830669642528,0.036400020122528076,0.0361714277948652,0.7465392944957228,-0.00020003318786621094,0.07520002126693726,1.7302182683943936,0.2581999897956848,0.5113999843597412,0.39079996943473816,0.12560001015663147,0.5163999795913696,0.00020003318786621094
140526,True,6.3369997978210435,33,33,0,False,,76.95895558010915,0.0037000030279159546,0.012481250101700425,3.3375869976699133,-0.00020000338554382324,0.24300000071525574,0.6320833148615791,0.03260000795125961,0.4320000112056732,0.42879999801516533,0.03120001032948494,0.46000000834465027,0.00020003318786621094
140616,True,5.420000076293945,9,9,0,False,,14.404609553084887,0.036199986934661865,0.055974993854761124,1.0853254463899948,0.0,0.1972000002861023,1.2556155700065765,0.43380001187324524,0.8815999627113342,0.6247999966144562,0.28139999508857727,0.9061999917030334,0.00020003318786621094
140617,True,3.54299988746643,7,7,0,False,,8.732534992215276,0.030300050973892212,0.12216667334238689,1.4211005063469353,-0.0003999769687652588,0.4811999499797821,0.03026754446080225,0.2671999931335449,1.0002000331878662,0.801599994301796,0.22280000150203705,1.024399995803833,0.00020003318786621094
140619,True,3.2649998664855957,7,7,0,False,,13.833992984615316,0.018900007009506226,0.035899996757507324,1.2628957985901768,0.00019997358322143555,0.13120001554489136,0.599243814520437,0.47200000286102295,0.6873999834060669,0.505999967455864,0.18780000507831573,0.6937999725341797,0.00020003318786621094
140620,True,2.974249923229217,9,9,0,False,,12.43093910780492,0.04370003938674927,0.08384999632835388,1.2221897362490826,0.0004000067710876465,0.28419995307922363,0.5763582988667907,0.23240000009536743,0.9031999707221985,0.7240000069141388,0.1956000030040741,0.9196000099182129,0.00020003318786621094
141283,True,4.460000038146973,17,17,0,False,,24.418271718213337,0.006300002336502075,0.03706249874085188,1.8847260726887745,-0.00020003318786621094,0.2757999897003174,0.04545250030401837,0.23880000412464142,0.8317999839782715,0.696199968457222,0.1388000100851059,0.8349999785423279,0.00020003318786621094
141300,True,1.8499999046325684,10,10,0,False,,14.671361567266363,0.024399995803833008,0.053555554813808866,0.997161118307718,-0.0015999674797058105,0.14520001411437988,1.2855622278393937,0.28780001401901245,0.7698000073432922,0.681599996984005,0.10040000826120377,0.7820000052452087,0.00020003318786621094
141301,True,1.733000016212463,9,9,0,False,,16.025642310810493,0.03289999067783356,0.04324999824166298,0.8589206097479182,-0.0020000040531158447,0.10259997844696045,1.8513664487424328,0.29899999499320984,0.6449999809265137,0.5615999549627304,0.09300000965595245,0.6545999646186829,0.00020003318786621094
141303,True,2.2179999828338617,21,21,0,False,,30.27681730524997,0.01029999554157257,0.025619999319314957,1.2601374121100886,0.0,0.11700001358985901,0.960837743752454,0.23900000751018524,0.7513999938964844,0.6935999840497971,0.06140001118183136,0.7549999952316284,0.00020003318786621094
141304,True,2.529499971866606,13,13,0,False,,17.28263862377051,0.01850000023841858,0.02811666578054428,1.3067672383310276,-0.00020003318786621094,0.13820001482963562,0.9481491985686865,0.43700000643730164,0.774399995803833,0.7521999552845955,0.09780000895261765,0.8499999642372131,0.00020003318786621094
141305,True,2.3399999141693115,18,18,0,False,,27.083960589230845,0.018000006675720215,0.028247058391571045,1.0339482895333336,0.0,0.10759997367858887,1.1118807426378425,0.24239999055862427,0.722599983215332,0.6645999923348427,0.07640000432729721,0.7409999966621399,0.00020003318786621094
141306,True,1.9449999332427979,6,6,0,False,,7.905138460355067,0.06399998068809509,0.08980000019073486,0.7133794808149593,0.023599982261657715,0.19359999895095825,1.4414980827729815,0.3709999918937683,0.8199999928474426,0.7589999884366989,0.08940000832080841,0.8483999967575073,0.00020003318786621094
141307,True,2.919999837875366,14,14,0,False,,23.680650061659478,0.022599995136260986,0.02830769007022564,1.1913372107921727,0.0,0.12419998645782471,1.050515294513563,0.2531999945640564,0.6211999654769897,0.5911999866366386,0.08260000497102737,0.673799991607666,0.00020003318786621094
141309,True,4.21099977493286,19,19,17,True,0.7368421052631579,30.76424974858512,0.015599995851516724,0.021399999658266704,0.89222292479448,-0.00019997358322143555,0.07899999618530273,1.50671678091194,0.3264000117778778,0.7116000056266785,0.6175999790430069,0.0982000082731247,0.7157999873161316,0.00020003318786621094
141310,True,3.3399999141693115,9,9,0,False,,11.955366943429812,0.051899999380111694,0.06999999657273293,0.9131499296707781,0.0,0.1955999732017517,1.177910349837929,0.2556000053882599,0.8155999779701233,0.7527999803423882,0.09520000964403152,0.8479999899864197,0.00020003318786621094
141311,True,3.509999990463257,9,9,0,False,,12.051419421905779,0.06929999589920044,0.06092500314116478,0.707969497124517,0.0,0.1422000229358673,1.7422079407724462,0.3301999866962433,0.8176000118255615,0.746799997985363,0.10200000554323196,0.848800003528595,0.00020003318786621094
